"","A1-6854_S1","A3-6830_S17","B1-6855_S2","B2-6813_S10","B3-6832_S18","C1-6872_S3","C2-6821_S11","C3-6835_S19","D1-6863_S4","D2-6822_S12","D3-6843_S20","E1-6870_S5","E2-6826_S13","F1-6803_S6","F2-6845_S14","G1-6806_S7","G2-6847_S15_1","H1-6807_S8","H2-6848_S16"
"DN398967",0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0
"DN398970",0,0,0,0,1,1,0,0,0,0,0,0,6,0,1,0,0,4,0
"DN398977",3,0,14,5,0,4,4,0,24,5,2,4,31,0,2,0,0,2,5
"DN398980",1,0,1,1,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0
"DN398994",0,0,1,0,0,0,0,2,0,1,0,0,0,1,1,1,0,0,0
"DN398995",0,0,0,0,2,0,0,0,0,1,0,0,5,5,0,0,0,1,0
"DN399004",0,0,0,0,1,0,0,0,2,0,0,0,4,2,1,0,1,0,1
"DN399011",1,2,2,0,3,1,0,2,0,0,4,1,1,0,0,0,0,2,2
"DN399014",0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,1,0
"DN399018",1,1,3,2,3,2,0,3,6,3,7,0,4,4,0,1,2,1,0
"DN399029",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0
"DN399032",0,5,5,6,8,4,3,5,10,7,5,1,7,8,3,1,9,3,3
"DN399033",9,3,3,2,2,1,1,1,6,2,3,1,2,3,3,1,0,0,0
"DN399040",19,9,26,1,12,5,8,9,22,31,6,4,44,1,7,15,2,0,6
"DN399046",2,0,5,0,1,0,3,0,3,0,0,0,2,3,0,0,3,0,1
"DN399048",0,2,2,0,3,0,1,0,1,2,0,2,2,4,0,2,2,0,5
"DN399051",1,2,5,1,0,0,0,0,0,0,1,2,7,1,0,0,0,1,0
"DN399056",5,8,8,4,7,5,10,6,2,6,8,4,9,2,2,1,1,3,1
"DN399059",3,0,9,2,0,2,0,0,3,0,0,1,0,0,0,0,2,0,0
"DN399062",4,4,9,0,3,0,1,3,9,1,9,2,8,0,0,2,1,3,5
"DN399067",19,28,52,55,74,30,21,45,39,40,67,17,58,22,21,21,48,24,16
"DN399070",6,5,24,10,11,4,6,8,13,5,23,4,11,6,3,6,5,1,1
"DN399072",1,1,2,1,1,1,2,1,5,0,3,1,2,0,2,0,1,0,2
"DN399076",3,9,31,13,3,3,3,9,16,12,13,5,15,10,2,6,4,5,4
"DN399078",0,3,0,0,2,0,0,0,1,2,3,0,0,0,0,1,0,0,0
"DN399079",0,4,8,1,1,2,3,0,0,1,2,0,4,1,1,0,0,0,2
"DN399085",0,4,3,2,1,0,1,1,7,6,4,2,3,1,2,3,2,0,0
"DN399086",1,1,2,1,3,2,1,1,2,2,6,0,4,2,1,3,3,1,0
"DN399087",0,2,1,1,2,1,0,0,9,3,0,0,5,3,3,1,0,0,0
"DN399088",6,9,18,0,20,19,17,15,24,13,21,5,35,14,17,3,15,5,4
"DN399091",0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,1,0,1,0
"DN399101",0,1,0,1,2,0,0,1,2,0,0,0,2,0,2,0,1,0,2
"DN399103",2,1,0,0,0,0,5,1,1,0,1,0,1,0,0,2,0,0,0
"DN399108",0,1,0,0,1,0,0,0,0,1,2,0,1,1,1,0,0,0,0
"DN399136",692,324,679,203,648,755,680,1020,888,376,978,469,590,272,198,554,215,379,213
"DN39914",0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2
"DN399145",23,32,11,16,76,100,26,77,56,5,55,65,18,37,45,14,30,14,16
"DN399148",1,3,9,3,6,3,3,0,4,8,7,0,2,2,1,5,0,1,4
"DN399149",70,24,34,81,69,163,40,44,131,10,23,51,45,17,2,18,5,8,16
"DN399160",0,0,0,1,0,0,1,0,0,3,1,1,0,0,0,1,0,1,0
"DN399162",1,4,1,0,2,0,0,1,0,1,2,0,1,0,1,2,3,0,2
"DN399163",1,1,1,0,0,0,0,0,0,1,2,0,4,2,1,2,0,2,1
"DN399169",0,1,0,3,1,0,0,1,2,0,3,1,0,0,0,0,0,0,0
"DN399170",0,0,2,3,5,1,1,0,4,6,6,4,4,1,1,0,2,1,0
"DN399177",0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0
"DN399180",6,0,4,0,0,3,0,0,4,0,0,2,1,2,0,0,1,0,0
"DN399182",1,9,3,9,17,1,13,8,12,3,12,3,5,4,2,5,4,7,3
"DN399186",5,4,6,8,4,0,7,0,2,5,3,0,4,4,4,4,1,2,4
"DN399194",0,23,0,12,10,2,4,4,0,0,39,0,3,27,4,21,6,26,0
"DN399196",4,15,8,9,11,9,3,7,13,3,8,8,11,1,16,7,7,5,7
"DN399202",1,10,7,3,6,2,9,7,10,12,8,2,10,2,3,4,7,4,6
"DN399208",0,0,0,0,1,1,0,0,0,1,0,1,7,0,1,0,0,0,0
"DN399212",1,1,5,1,3,0,0,1,0,2,12,0,0,0,0,0,0,0,0
"DN399213",0,0,2,0,0,1,1,0,5,0,6,1,0,0,2,1,1,0,1
"DN399218",0,2,0,1,0,0,2,0,0,4,0,1,0,2,0,0,0,0,0
"DN399229",0,0,8,4,3,1,0,1,2,4,0,6,1,1,0,0,3,1,0
"DN399232",6,3,0,3,5,2,11,5,1,5,5,1,8,0,0,4,2,3,4
"DN399244",11,4,19,9,8,8,10,6,14,14,14,3,22,7,22,16,2,3,5
"DN399247",0,1,2,2,1,1,0,1,0,3,1,0,1,2,0,0,0,5,0
"DN399250",5,4,1,0,2,0,0,1,6,0,2,3,8,1,1,2,7,4,2
"DN399261",4946,3515,8945,4120,5848,4721,3816,5183,8598,3555,6738,2655,7197,7788,2453,9027,2331,5289,1635
"DN399271",0,1,0,0,5,1,2,0,0,1,2,1,2,0,2,0,5,1,1
"DN399274",2,2,2,2,1,0,0,0,1,3,1,0,0,0,1,0,0,0,6
"DN399275",1,0,3,0,0,0,1,1,0,0,1,0,2,1,1,0,0,0,1
"DN399280",0,3,3,0,2,2,2,3,1,2,5,2,3,1,3,3,2,0,0
"DN399281",4,8,4,8,26,0,2,7,2,8,16,0,15,1,5,4,32,4,10
"DN399285",0,0,0,1,0,1,0,1,2,0,0,0,0,1,1,0,0,0,3
"DN399291",5,3,6,3,7,7,7,6,13,20,18,4,11,4,5,4,11,7,13
"DN399296",2,4,5,0,7,2,4,2,2,4,3,3,2,0,0,0,5,0,0
"DN399304",0,1,1,0,2,0,0,3,4,0,12,2,1,2,2,1,2,0,0
"DN399312",8,40,60,13,21,22,10,25,46,30,21,24,24,17,10,9,13,17,12
"DN399315",3,5,9,3,3,5,0,7,17,2,7,4,4,3,1,5,3,1,2
"DN399317",1,1,1,1,3,2,0,1,1,7,3,1,0,2,0,0,1,0,0
"DN399323",0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
"DN399324",0,3,3,0,6,6,5,8,7,1,12,1,5,12,8,7,9,3,2
"DN399327",0,1,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"DN399329",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0
"DN399339",0,0,8,0,2,0,6,4,2,3,2,0,5,1,0,0,0,1,8
"DN399348",0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0
"DN399351",12,105,36,6,61,22,8,56,60,23,58,23,14,19,5,19,1,7,3
"DN399356",4,2,8,1,0,1,2,1,6,6,4,2,2,6,0,1,3,2,3
"DN399361",0,1,0,2,0,0,0,0,0,1,3,0,1,1,0,1,0,0,2
"DN399365",3,2,7,4,1,0,1,0,9,0,3,1,3,2,0,0,4,5,3
"DN399371",1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1
"DN399383",0,3,7,1,5,1,1,0,7,0,2,0,3,1,4,0,0,1,0
"DN399385",1,4,11,3,6,1,1,4,8,11,7,1,18,2,1,2,6,4,3
"DN399388",0,0,1,0,0,0,2,0,0,1,0,1,2,0,1,0,0,0,1
"DN399391",4,0,10,12,5,0,4,1,9,8,0,1,14,0,1,3,0,3,1
"DN399392",13,0,9,26,0,9,14,3,19,14,1,5,28,16,8,26,10,18,9
"DN399397",0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0
"DN399398",5,1,7,5,7,2,1,4,3,7,3,2,4,1,4,3,3,0,1
"DN399409",3,2,6,2,2,4,0,1,3,1,2,0,0,0,3,1,1,4,1
"DN399413",4,4,3,3,9,2,2,3,8,4,10,0,8,2,5,1,6,3,2
"DN399414",0,1,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,1,0
"DN399416",0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0
"DN399419",16,26,48,23,33,19,8,29,58,28,44,6,53,13,24,15,24,4,16
"DN399422",0,0,1,4,7,1,3,0,2,5,5,1,3,0,0,1,1,0,3
"DN399424",4,1,5,7,2,5,0,4,1,0,2,1,4,3,1,7,0,6,1
"DN399432",0,1,4,1,3,3,0,2,3,0,3,1,6,0,0,1,2,1,1
"DN399440",0,1,0,0,4,1,1,1,1,3,3,1,1,0,0,0,0,0,1
"DN399447",4,2,4,8,0,0,1,0,13,2,3,0,3,1,0,6,1,0,0
"DN399455",24,17,25,9,12,26,4,20,41,8,19,12,4,11,10,22,8,16,1
"DN399457",0,0,1,1,1,1,0,1,0,1,1,0,0,3,1,0,0,0,0
"DN399459",19,25,28,27,25,12,12,13,24,27,25,7,32,24,8,14,10,18,14
"DN399475",1,0,1,0,2,0,2,0,0,9,0,0,1,1,1,3,2,1,2
"DN399480",0,0,1,0,0,1,0,0,4,0,1,0,0,0,1,0,0,0,1
"DN399486",4,10,2,9,11,0,6,5,0,11,13,0,19,7,5,3,4,0,0
"DN399489",3,2,6,5,6,3,4,2,2,1,13,3,3,15,9,4,2,20,2
"DN39949",1,46,4,11,0,6,24,0,16,22,24,8,0,0,0,0,17,0,0
"DN399494",0,3,3,2,8,2,0,3,5,0,2,0,5,3,1,1,1,4,0
"DN399497",0,0,0,1,2,0,2,0,0,1,2,0,0,0,0,0,0,0,1
"DN399499",2,2,4,2,1,0,0,0,1,3,4,1,1,1,0,0,4,0,0
"DN399502",0,0,1,0,0,2,0,0,0,1,1,0,2,1,1,2,1,0,1
"DN399505",12,7,11,28,13,14,17,22,43,14,10,3,23,21,10,14,13,11,6
"DN399508",0,1,4,4,2,2,1,5,4,2,5,8,12,0,5,5,10,2,1
"DN399511",0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,1
"DN399517",17,5,49,14,10,17,9,4,34,55,8,6,24,33,3,1,4,5,8
"DN399520",2,0,4,6,4,6,2,7,14,5,4,1,5,5,5,0,1,2,4
"DN399522",1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1
"DN399535",0,12,0,4,1,0,0,7,0,3,0,1,0,0,0,2,19,1,1
"DN399536",2,0,1,0,2,0,2,0,1,0,1,0,2,1,0,0,1,1,0
"DN399542",0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"DN399543",11,15,25,13,15,10,12,15,27,20,26,1,21,12,3,8,6,6,3
"DN399544",7,8,32,18,18,6,17,7,14,12,14,4,33,17,11,11,14,6,15
"DN399551",2,1,1,1,3,2,0,0,0,1,1,0,0,0,2,0,2,1,1
"DN399557",5,6,8,6,9,2,3,5,9,9,9,2,12,2,2,1,3,0,5
"DN399564",1,6,10,4,9,3,1,0,2,2,4,2,4,4,3,0,3,0,2
"DN399568",3,3,3,0,2,3,0,0,4,1,2,0,0,1,0,0,0,1,0
"DN399570",9,8,11,12,13,5,6,9,16,5,10,6,10,9,1,3,8,2,1
"DN399580",0,1,1,5,9,7,5,0,14,0,1,8,0,2,1,4,0,8,2
"DN399581",23,32,109,34,62,44,29,30,172,25,57,32,73,32,28,48,17,19,27
"DN399582",0,4,3,2,4,1,4,1,8,0,2,1,0,2,0,3,3,0,1
"DN399593",0,3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
"DN399594",7,9,18,11,28,11,4,7,26,15,20,10,8,3,6,5,8,3,0
"DN399597",2,25,11,44,31,2,20,41,4,32,73,0,53,37,25,29,37,22,16
"DN399599",0,1,12,2,0,2,0,1,12,1,2,2,1,0,0,0,0,0,0
"DN399601",9,17,41,3,9,13,5,6,34,9,16,9,6,9,3,2,2,0,5
"DN399603",0,0,0,0,1,0,2,1,0,0,1,0,0,4,0,1,0,1,1
"DN399604",1,2,0,1,1,0,1,0,2,1,0,0,0,1,0,0,0,2,1
"DN399606",0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
"DN399609",13,16,46,47,25,28,31,15,59,47,28,19,82,40,25,39,33,18,13
"DN399615",0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"DN399621",2,3,1,4,2,0,1,0,2,3,5,0,6,6,0,3,1,0,2
"DN399631",0,0,1,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0
"DN399633",0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"DN399651",1,5,2,2,2,1,2,2,2,0,4,0,2,1,2,0,1,4,0
"DN399658",1,2,1,2,0,1,2,0,0,0,2,0,1,0,0,1,0,2,0
"DN399659",5,3,23,3,7,5,4,4,16,9,12,7,25,6,7,2,5,4,2
"DN399662",0,2,0,3,0,2,0,1,0,3,5,2,6,2,0,0,2,0,1
"DN399667",0,0,1,1,0,0,0,0,2,1,0,0,4,0,0,1,0,0,0
"DN399668",0,1,11,1,3,2,5,2,8,2,7,2,7,1,3,1,2,0,2
"DN399671",0,0,1,1,0,0,2,0,3,1,1,0,2,0,0,0,0,0,1
"DN399679",0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0
"DN399680",0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0
"DN399683",5,17,20,12,8,24,12,12,35,9,19,8,18,7,7,13,5,16,4
"DN399685",0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1
"DN399686",0,0,2,1,1,0,3,0,1,16,0,0,8,0,2,0,1,0,1
"DN399690",2,7,16,7,4,4,1,3,20,8,11,4,9,5,5,0,10,4,2
"DN399709",2,5,8,0,5,3,4,2,5,5,3,2,15,3,6,1,5,1,15
"DN399710",0,1,1,1,5,0,1,0,3,0,0,1,0,0,0,0,0,0,0
"DN399712",0,2,0,0,0,0,0,1,0,1,0,0,3,1,1,0,0,0,0
"DN399717",6,7,23,6,13,19,3,3,51,7,13,7,26,5,6,8,4,6,2
"DN399718",2,1,3,3,3,3,1,5,12,4,14,3,10,1,6,3,4,3,1
"DN399721",1,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"DN399725",0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
"DN399727",1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"DN399731",5,10,17,9,6,1,10,3,7,20,10,2,17,6,7,1,9,7,9
"DN399741",0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
"DN399744",1,3,3,4,3,2,1,1,0,2,1,0,1,1,3,0,0,0,0
"DN399747",3,4,3,0,0,0,1,0,0,3,4,1,5,1,0,3,4,1,6
"DN399748",0,0,0,13,0,0,0,0,0,0,0,0,0,21,0,19,0,7,0
"DN399752",0,1,1,1,1,1,0,2,0,0,1,0,1,0,1,0,1,0,0
"DN399753",0,5,4,5,7,1,0,1,11,1,5,6,2,5,6,0,2,1,4
"DN399763",0,2,0,2,2,1,1,1,0,0,6,0,1,0,0,0,1,0,0
"DN399764",11,9,44,7,22,2,22,14,45,12,22,11,60,5,9,7,10,1,26
"DN399768",2,3,4,4,1,2,2,0,5,0,3,1,1,2,3,2,1,0,1
"DN399770",0,1,1,0,1,1,1,1,4,1,1,0,1,0,0,1,1,0,0
"DN399775",1,3,1,3,1,1,1,2,0,4,12,1,3,0,0,2,2,1,0
"DN399777",0,0,0,1,0,1,0,0,3,0,0,0,0,0,2,1,0,0,0
"DN399784",1,3,11,0,7,6,0,11,18,12,21,4,4,2,5,3,10,3,3
"DN399797",7,5,19,15,5,4,16,3,11,66,16,1,36,8,0,1,4,8,1
"DN399800",0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"DN399805",1,0,0,0,0,0,0,0,1,1,0,1,4,1,0,1,0,0,0
"DN399821",8,3,19,17,17,14,3,4,5,4,9,5,2,6,12,6,3,9,2
"DN399822",1,2,2,2,1,0,0,1,2,1,0,0,0,1,0,0,1,2,0
"DN399825",0,2,2,0,1,2,5,0,0,10,3,0,3,1,1,1,0,1,2
"DN399829",0,1,0,2,0,2,0,0,1,0,0,2,2,0,1,1,1,1,0
"DN399841",27,47,77,48,61,41,49,37,126,54,68,32,114,23,36,22,73,20,23
"DN399844",1,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0
"DN399849",0,9,5,1,2,0,3,0,5,5,8,2,3,0,1,1,1,0,5
"DN399861",0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,2,0,1,0
"DN399874",0,0,1,2,1,1,0,2,0,1,3,0,0,1,0,1,3,0,0
"DN399879",0,0,5,1,2,0,2,2,2,8,2,1,11,0,0,2,4,0,3
"DN399882",3,8,3,11,9,3,11,11,14,3,10,5,5,24,5,6,7,23,13
"DN399884",0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"DN399886",39,1,44,15,3,11,22,3,192,50,4,27,30,21,10,5,0,18,0
"DN399887",6,0,19,0,3,16,1,3,9,1,5,6,8,2,1,0,3,5,4
"DN399888",3,14,6,9,6,10,2,8,13,2,8,5,1,3,2,6,2,5,7
"DN399890",56,2,146,2,3,32,28,0,216,64,2,57,57,71,0,23,3,12,0
"DN399891",0,2,2,1,0,0,2,2,2,5,7,1,0,1,4,0,0,2,0
"DN399893",8,15,23,15,20,14,27,5,10,86,26,1,74,11,10,9,10,10,10
"DN399895",103,87,210,87,142,172,110,85,342,109,416,130,233,128,75,77,114,72,66
"DN399897",1,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2
"DN399907",0,1,1,0,0,5,0,0,3,0,0,2,3,2,1,0,0,1,0
"DN399908",0,0,0,1,0,1,0,2,2,2,0,0,2,1,0,1,0,0,0
"DN399917",2,6,8,1,2,1,4,4,16,9,11,1,21,5,1,1,2,1,1
"DN399923",2,2,1,0,9,7,1,3,8,3,2,8,5,0,0,1,2,0,3
"DN399927",7,12,11,2,7,7,1,7,11,9,8,4,0,10,10,8,7,6,2
"DN399934",1,1,3,1,3,1,0,0,0,4,0,0,6,2,1,0,2,1,4
"DN399936",4,4,6,4,5,3,3,2,9,7,5,1,13,7,4,6,10,7,2
"DN399945",6,22,16,16,23,15,13,10,20,20,17,8,32,14,3,11,9,18,0
"DN399954",1,0,1,0,0,4,2,0,5,2,1,0,1,1,0,1,0,0,0
"DN399965",0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0
"DN399983",0,5,4,1,3,0,3,1,2,5,4,0,7,3,1,2,1,2,4
"DN399990",2,4,6,2,5,4,1,7,4,3,5,3,1,3,3,0,2,5,1
"DN399997",11,68,5,2,33,11,9,67,12,5,82,3,3,5,1,2,17,11,0
"DN399999",4,0,0,4,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0
"DN400000",1,1,1,1,1,0,0,0,3,3,3,0,0,0,3,0,0,0,2
"DN400001",4,10,8,5,7,1,4,3,18,3,10,4,9,2,2,2,7,2,9
"DN400011",3,1,12,4,5,2,5,4,4,6,7,0,16,2,2,0,3,10,4
"DN400016",861,631,712,658,1172,1012,1488,1078,987,808,865,613,1641,1052,1427,739,1470,690,900
"DN400021",1,0,7,4,6,7,1,3,2,3,2,0,19,3,0,1,3,2,0
"DN400025",0,1,2,2,1,0,1,0,2,0,5,1,5,0,1,0,1,0,2
"DN400027",1,2,1,5,2,2,0,0,0,2,0,0,2,0,2,0,0,0,1
"DN400036",0,0,0,0,0,0,1,2,0,0,4,0,1,0,0,0,1,0,0
"DN400039",1,0,6,1,1,6,0,0,13,0,0,2,0,1,0,1,0,0,0
"DN400045",3,6,5,0,3,1,4,4,2,3,6,2,19,2,0,2,4,4,0
"DN400054",0,2,0,1,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0
"DN400059",3,4,13,5,2,4,0,1,12,5,8,2,0,1,3,2,2,0,0
"DN400083",0,2,6,1,1,2,1,1,2,0,2,0,5,0,2,1,0,0,0
"DN400084",1,1,2,7,3,6,0,2,3,0,0,1,2,0,2,0,7,0,2
"DN400088",8,15,31,18,14,4,11,8,31,15,31,12,33,14,10,9,13,12,7
"DN400103",3,1,3,9,2,1,1,0,3,10,0,0,1,13,1,4,3,3,2
"DN400104",96,926,0,0,479,9,0,11,0,0,1516,0,0,0,0,0,0,0,0
"DN400106",0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,1,1,0,2
"DN400111",0,2,0,0,5,1,0,5,0,0,0,0,1,1,0,0,4,1,0
"DN400117",425,356,569,591,328,461,616,692,893,468,663,327,639,770,438,495,586,480,155
"DN400119",290,1590,476,392,1583,2,492,3899,977,635,4787,527,630,3,465,412,589,1058,1
"DN400122",414,262,615,472,243,152,260,193,357,467,296,98,436,311,240,253,182,146,93
"DN400125",0,5,0,0,0,0,2,0,0,1,0,1,1,0,0,1,0,0,0
"DN400130",97,23,132,55,30,134,46,25,159,48,36,73,68,40,56,17,52,10,10
"DN400136",5,0,1,0,1,0,1,3,0,0,0,0,3,1,0,0,1,0,0
"DN400148",1,1,1,6,2,0,1,0,0,11,5,0,14,3,5,5,4,2,2
"DN400151",4,13,11,10,1,2,3,2,6,3,10,2,13,4,3,4,1,0,2
"DN400162",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,2,1,0
"DN400167",0,6,0,0,1,0,2,0,2,3,0,0,5,1,1,2,1,2,5
"DN400170",1,2,0,1,0,3,3,0,0,0,4,0,2,1,0,0,0,1,0
"DN400171",0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"DN400181",0,1,1,0,0,0,1,0,1,0,2,0,3,0,1,0,1,0,2
"DN400185",4,2,6,7,2,5,1,0,5,3,1,1,3,2,4,3,4,2,1
"DN400193",7,4,16,10,8,6,1,3,16,0,7,4,15,6,9,3,4,8,3
"DN400205",0,0,1,0,1,0,1,0,3,4,2,0,2,0,1,0,1,0,2
"DN400211",0,91,23,0,45,0,0,0,43,0,0,0,0,0,0,0,18,0,1
"DN400217",0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0
"DN400220",1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,1,0
"DN400224",1,1,2,3,5,1,4,0,7,2,4,1,1,3,2,7,0,5,4
"DN400226",20,41,72,40,64,23,16,15,41,96,73,12,100,26,32,33,25,50,37
"DN400228",2,93,4,9,31,12,52,85,33,46,209,8,45,12,12,31,7,25,2
"DN400237",8,8,10,11,7,6,4,4,29,12,8,6,24,2,6,1,9,1,4
"DN400238",2,1,6,2,5,2,2,0,1,12,5,2,5,2,0,0,0,0,0
"DN400241",3,3,5,1,7,1,2,1,3,5,12,1,4,13,10,4,2,4,3
"DN400251",1,0,0,1,0,0,0,1,3,0,0,0,1,1,2,1,0,0,0
"DN400255",3,2,8,1,1,0,2,5,14,7,3,0,7,2,0,2,2,0,0
"DN400264",0,5,3,1,0,2,0,3,4,1,11,0,6,2,2,0,2,1,3
"DN400267",11,14,27,14,14,12,17,13,11,10,18,3,11,12,28,8,10,4,6
"DN400274",0,4,0,2,2,0,2,0,1,3,3,0,0,0,0,0,0,2,2
"DN400279",2,6,8,2,15,6,3,7,10,3,17,2,11,3,2,2,2,2,4
"DN400284",0,0,11,3,0,6,5,0,4,1,1,1,5,1,1,2,1,1,11
"DN400287",5,1,13,10,3,15,15,1,10,23,4,4,36,12,13,26,5,9,4
"DN400289",1,1,0,1,1,0,2,1,1,1,2,2,1,0,0,0,0,0,0
"DN400301",96,161,177,17,234,30,102,71,180,102,197,34,195,69,59,27,167,19,74
"DN400306",0,0,3,0,2,2,0,2,7,0,1,0,3,0,1,0,1,0,0
"DN400308",4,6,12,10,10,0,6,9,14,3,15,0,12,10,2,9,3,7,3
"DN400309",0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0
"DN400312",12,9,25,12,19,9,31,12,32,21,35,13,50,8,21,18,7,8,14
"DN400324",0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0
"DN400338",0,0,0,0,2,0,0,1,1,2,0,0,1,1,0,0,0,0,0
"DN400342",0,2,1,0,0,0,0,0,0,6,4,1,0,2,2,0,2,1,1
"DN400348",6,12,20,6,9,9,2,7,11,3,4,6,11,4,3,8,0,4,2
"DN400349",0,3,8,2,0,1,3,0,4,4,5,0,4,4,1,1,4,0,1
"DN400350",2,0,8,5,0,1,1,0,9,1,0,2,1,1,0,0,1,0,0
"DN400353",33,14,75,55,33,47,92,57,110,46,37,25,91,41,33,72,43,64,23
"DN400364",0,0,8,5,2,0,1,1,29,7,1,4,4,1,3,0,2,3,4
"DN400369",2,2,7,0,3,1,4,4,6,0,7,0,11,0,0,1,7,5,4
"DN400370",14,8,16,21,28,16,18,18,20,10,15,21,22,11,9,10,9,9,11
"DN400371",0,3,0,0,0,1,1,0,0,2,3,0,0,1,1,0,0,0,0
"DN400373",4,8,15,4,11,9,3,7,16,5,12,9,14,5,3,8,2,5,0
"DN400376",48,47,105,79,51,60,56,27,91,73,85,41,127,73,60,42,34,56,54
"DN400377",0,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
"DN400385",0,0,5,1,0,0,1,0,1,0,2,3,1,0,0,0,0,0,0
"DN400387",2,4,38,3,2,3,6,2,18,13,6,0,9,8,0,9,3,7,2
"DN400389",3,3,5,1,0,1,0,0,0,2,3,0,2,2,1,1,0,0,1
"DN400401",3,9,41,6,9,1,3,8,8,15,18,1,92,10,3,7,9,2,8
"DN400409",4,6,3,2,2,0,2,1,1,0,12,2,3,6,0,1,0,3,0
"DN400410",0,0,0,0,2,0,0,4,0,0,3,0,0,1,0,0,0,0,0
"DN400417",1,0,1,0,1,0,0,0,0,0,1,1,0,2,0,1,0,0,0
"DN400419",8,17,34,47,41,34,25,18,45,28,38,14,27,15,34,28,14,19,7
"DN400421",1,0,0,3,2,2,3,0,4,1,3,2,0,2,0,2,0,3,0
"DN400423",1,0,0,0,5,1,1,0,1,0,1,1,2,0,0,0,1,2,0
"DN400437",0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"DN400441",2,5,9,4,0,1,1,0,8,3,5,1,6,0,0,1,2,1,3
"DN400451",1,1,3,0,2,1,1,2,1,0,7,1,0,1,3,0,2,1,3
"DN400453",0,2,4,0,3,0,4,1,3,1,1,0,5,0,0,1,2,1,3
"DN400456",0,1,2,1,2,0,6,2,0,2,1,0,4,4,0,0,0,6,0
"DN400457",0,2,1,0,3,0,0,0,0,2,2,0,5,0,2,2,2,0,2
"DN400474",3,5,6,5,7,2,10,0,9,14,3,1,7,2,0,5,0,1,4
"DN400478",0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1
"DN400481",1,1,1,6,0,0,0,0,1,1,2,0,4,1,0,4,2,1,0
"DN400484",0,0,8,0,0,1,0,0,2,0,0,0,1,0,0,0,2,0,0
"DN400485",78,104,73,100,196,75,206,195,85,133,125,43,82,138,82,95,107,67,78
"DN400521",1,0,0,0,4,0,0,1,1,1,3,0,1,1,0,1,1,3,2
"DN400522",5,4,13,1,3,1,5,0,14,16,7,2,21,1,1,2,6,2,1
"DN400523",0,3,0,0,1,0,0,0,6,2,4,1,0,0,0,1,2,0,0
