"","A1-6854_S1","A3-6830_S17","B1-6855_S2","B2-6813_S10","B3-6832_S18","C1-6872_S3","C2-6821_S11","C3-6835_S19","D1-6863_S4","D2-6822_S12","D3-6843_S20","E1-6870_S5","E2-6826_S13","F1-6803_S6","F2-6845_S14","G1-6806_S7","G2-6847_S15_1","H1-6807_S8","H2-6848_S16"
"DN380743",0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"DN380765",0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,2,0,0
"DN380782",0,2,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0
"DN380790",0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
"DN380801",111,160,89,209,249,139,181,246,383,146,236,103,183,248,98,177,162,155,76
"DN380802",0,0,0,1,1,0,0,2,1,0,2,0,0,1,0,0,0,1,0
"DN380813",4,6,8,1,6,4,18,8,16,20,7,3,0,16,6,16,4,1,2
"DN380826",2,2,1,0,1,0,1,2,0,1,5,1,5,0,1,0,1,0,1
"DN380830",3,4,5,2,5,1,1,2,5,5,5,1,6,4,4,1,2,1,2
"DN380842",2,0,1,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0
"DN380844",0,0,2,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0
"DN380854",0,0,0,0,1,2,0,0,0,0,2,0,1,2,0,0,0,0,0
"DN380862",0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,1,0,0
"DN380865",1,2,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
"DN380873",4,3,3,12,13,3,16,4,17,3,7,3,6,6,6,6,15,2,9
"DN380877",4,5,11,0,6,2,0,1,7,12,8,1,19,4,5,4,1,0,8
"DN380885",0,2,1,0,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0
"DN380891",0,1,1,0,2,0,0,0,2,0,0,0,2,1,0,0,0,0,0
"DN380905",0,1,3,0,2,0,0,1,3,1,1,1,2,0,0,0,3,0,3
